Date,Sales
2018-01-01,202.48357076505616
2018-02-01,209.3086784941441
2018-03-01,220.55895076619223
2018-04-01,227.61514928204014
2018-05-01,216.14974120207208
2018-06-01,208.8293152152541
2018-07-01,207.89606407753695
2018-08-01,193.83717364576455
2018-09-01,180.33211999463649
2018-10-01,182.7128002179298
2018-11-01,180.36240346024888
2018-12-01,187.6713512321487
2019-01-01,201.20981135783018
2019-02-01,200.43359877671102
2019-03-01,208.6959189131236
2019-04-01,217.18856235379513
2019-05-01,212.25635247401667
2019-06-01,211.5712366629764
2019-07-01,195.45987962239394
2019-08-01,182.93848149332356
2019-09-01,190.00773576891902
2019-10-01,178.87111849756732
2019-11-01,183.01713294775084
2019-12-01,182.87625906893268
2020-01-01,197.27808637737408
2020-02-01,210.5546129485493
2020-03-01,211.56554018857724
2020-04-01,221.87849009172837
2020-05-01,214.31731462609477
2020-06-01,208.54153125103363
2020-07-01,196.99146693885308
2020-08-01,199.2613909225447
2020-09-01,182.61200580062157
2020-10-01,174.7114453552205
2020-11-01,186.79221648482715
2020-12-01,183.89578175014483
2021-01-01,201.04431797502374
2021-02-01,200.20164938060108
2021-03-01,210.6795778311966
2021-04-01,220.98430617934562
2021-05-01,221.01284097566585
2021-06-01,210.85684140594992
2021-07-01,199.42175858805882
2021-08-01,188.49448152205358
2021-09-01,175.2868819724741
2021-10-01,176.40077895802645
2021-11-01,180.37629806951227
2021-12-01,195.28561113109453
2022-01-01,201.71809144784228
2022-02-01,201.1847992231863
2022-03-01,218.94092792266275
2022-04-01,218.07458859791842
2022-05-01,213.935898074159
2022-06-01,213.0583814442044
2022-07-01,205.15499761247983
2022-08-01,194.65640059558103
2022-09-01,178.48340430819806
2022-10-01,178.4539381207439
2022-11-01,184.33580908132902
2022-12-01,194.87772563561174
